va_class_id,va_class_name,mechanism,hazard,weight,acb,controlled,cold_chain,narrow_ti,source
AH105,"ANTIHISTAMINES,PIPERAZINE",anticholinergic_decreased_sweating,heat,0.7,3,0,0,0,CDC_heat_meds
AH106,"ANTIHISTAMINES,BUTYROPHENONE",anticholinergic_decreased_sweating,heat,0.7,2,0,0,0,CDC_heat_meds
AH107,"ANTIHISTAMINES,PIPERIDINE",anticholinergic_decreased_sweating,heat,0.4,1,0,0,0,CDC_heat_meds
AH109,"ANTIHISTAMINES,OTHER",anticholinergic_decreased_sweating,heat,0.5,1,0,0,0,CDC_heat_meds
RE105,"BRONCHODILATORS,ANTICHOLINERGIC",anticholinergic,heat,0.4,1,0,0,0,CDC_heat_meds
MS101,"SALICYLATES,ANTIRHEUMATIC",renal_injury_with_dehydration,heat,0.6,0,0,0,0,CDC_heat_meds
MS102,"NONSALICYLATE NSAIs,ANTIRHEUMATIC",renal_injury_with_dehydration,heat,0.7,0,0,0,0,CDC_heat_meds
HS501,"INSULIN",requires_refrigeration,outage,1.0,0,0,1,1,CDC_heat_meds
HS500,"BLOOD GLUCOSE REGULATION AGENTS",some_require_refrigeration,outage,0.5,0,0,1,0,CDC_heat_meds
BL110,"ANTICOAGULANTS",narrow_ti_requires_monitoring,access_loss,0.6,0,0,0,1,CDC_heat_meds
HS851,"THYROID SUPPLEMENTS",narrow_ti,access_loss,0.3,0,0,0,1,CDC_heat_meds
HS050,"ADRENAL CORTICOSTERIODS",cannot_stop_abruptly,access_loss,0.7,0,0,0,0,CDC_heat_meds
HS051,"GLUCOCORTICOIDS",cannot_stop_abruptly,access_loss,0.7,0,0,0,0,CDC_heat_meds
RE100,"ANTIASTHMA/BRONCHODILATORS",heat_degrades_inhaler_and_rescue_supply,breathing,0.8,0,0,0,0,CDC_heat_meds
RE102,"BRONCHODILATORS,SYMPATHOMIMETIC,INHALATION",heat_degrades_inhaler_and_rescue_supply,breathing,0.8,0,0,0,0,CDC_heat_meds
RE101,"ANTI-INFLAMMATORIES,INHALATION",controller_therapy_gap,breathing,0.6,0,0,0,0,CDC_heat_meds
AN000,"ANTINEOPLASTICS",site_dependent_infusion,treatment_gap,1.0,0,0,1,1,VA_disaster_pharmacy
AN300,"ANTINEOPLASTICS,ANTIMETABOLITES",site_dependent_infusion,treatment_gap,1.0,0,0,1,1,VA_disaster_pharmacy
